Dystans do przejścia: 20, dlugosc kroku: 2.3
1305:(x,y)=(-4.91074,4.25411)
1306:(x,y)=(-5.15486,4.49077)
1307:(x,y)=(-5.42992,4.29092)
1308:(x,y)=(-5.19004,4.53187)
1309:(x,y)=(-4.87549,4.66095)
1310:(x,y)=(-4.57086,4.50996)
1311:(x,y)=(-4.9019,4.43241)
1312:(x,y)=(-4.84056,4.76683)
1313:(x,y)=(-5.12907,4.94672)
1314:(x,y)=(-4.83288,4.77978)
1315:(x,y)=(-5.03395,5.05395)
1316:(x,y)=(-5.11588,4.72397)
1317:(x,y)=(-5.02522,5.05166)
1318:(x,y)=(-5.18823,5.35004)
1319:(x,y)=(-5.3917,5.07764)
1320:(x,y)=(-5.50815,5.39708)
1321:(x,y)=(-5.16948,5.42714)
1322:(x,y)=(-5.21598,5.76394)
1323:(x,y)=(-5.54702,5.68639)
1324:(x,y)=(-5.71529,5.98184)
1325:(x,y)=(-5.83173,6.30127)
1326:(x,y)=(-5.71246,5.98288)
1327:(x,y)=(-5.41336,5.8212)
1328:(x,y)=(-5.3256,5.49272)
1329:(x,y)=(-4.99324,5.42106)
1330:(x,y)=(-5.32984,5.46904)
1331:(x,y)=(-4.99069,5.4931)
1332:(x,y)=(-4.71562,5.29325)
1333:(x,y)=(-4.47574,5.5342)
1334:(x,y)=(-4.65178,5.24333)
1335:(x,y)=(-4.71904,5.57661)
1336:(x,y)=(-5.025,5.7249)
1337:(x,y)=(-5.05054,5.38586)
1338:(x,y)=(-5.09704,5.72266)
1339:(x,y)=(-4.95556,6.03183)
1340:(x,y)=(-5.29555,6.02882)
1341:(x,y)=(-5.01699,5.83388)
1342:(x,y)=(-4.67859,5.80083)
1343:(x,y)=(-4.83362,5.49823)
1344:(x,y)=(-4.96407,5.18426)
1345:(x,y)=(-4.88799,4.85288)
1346:(x,y)=(-5.19262,4.70188)
1347:(x,y)=(-5.49028,4.8662)
1348:(x,y)=(-5.76176,4.66151)
1349:(x,y)=(-6.03324,4.45682)
1350:(x,y)=(-6.07974,4.79363)
1351:(x,y)=(-5.85299,5.04697)
1352:(x,y)=(-5.5815,4.84229)
1353:(x,y)=(-5.27424,4.69672)
1354:(x,y)=(-5.02393,4.46662)
1355:(x,y)=(-5.36232,4.43357)
1356:(x,y)=(-5.02244,4.42456)
1357:(x,y)=(-5.3297,4.27897)
1358:(x,y)=(-5.6316,4.12261)
1359:(x,y)=(-5.93756,4.27089)
1360:(x,y)=(-6.25211,4.39996)
1361:(x,y)=(-6.26866,4.73956)
1362:(x,y)=(-6.53833,4.94663)
1363:(x,y)=(-6.27617,5.16313)
1364:(x,y)=(-6.54023,4.94896)
1365:(x,y)=(-6.87938,4.97301)
1366:(x,y)=(-6.75449,4.65677)
1367:(x,y)=(-6.96038,4.92735)
1368:(x,y)=(-6.92584,5.26559)
1369:(x,y)=(-7.15034,5.01025)
1370:(x,y)=(-7.15785,4.67033)
1371:(x,y)=(-7.25718,4.9955)
1372:(x,y)=(-7.40682,4.6902)
1373:(x,y)=(-7.62906,4.43288)
1374:(x,y)=(-7.31014,4.55075)
1375:(x,y)=(-7.54573,4.7959)
1376:(x,y)=(-7.84191,4.62894)
1377:(x,y)=(-7.81635,4.2899)
1378:(x,y)=(-8.12231,4.43819)
1379:(x,y)=(-7.78279,4.45624)
1380:(x,y)=(-8.07445,4.63099)
1381:(x,y)=(-8.35973,4.44602)
1382:(x,y)=(-8.69865,4.41897)
1383:(x,y)=(-8.3595,4.44302)
1384:(x,y)=(-8.61184,4.67089)
1385:(x,y)=(-8.27376,4.70694)
1386:(x,y)=(-7.94903,4.80771)
1387:(x,y)=(-7.71783,5.057)
1388:(x,y)=(-7.78803,4.72432)
1389:(x,y)=(-7.70903,5.05502)
1390:(x,y)=(-7.96136,5.28289)
1391:(x,y)=(-7.77766,5.56899)
1392:(x,y)=(-7.71633,5.90341)
1393:(x,y)=(-8.05567,5.88236)
1394:(x,y)=(-8.38296,5.97446)
1395:(x,y)=(-8.47939,5.64843)
1396:(x,y)=(-8.23951,5.88938)
1397:(x,y)=(-8.5779,5.85633)
1398:(x,y)=(-8.5794,5.51633)
1399:(x,y)=(-8.43518,5.20843)
1400:(x,y)=(-8.12063,5.33751)
1401:(x,y)=(-7.84914,5.13283)
1402:(x,y)=(-7.52919,5.0178)
1403:(x,y)=(-7.59645,5.35109)
1404:(x,y)=(-7.25806,5.31804)
1405:(x,y)=(-7.38014,5.63537)
1406:(x,y)=(-7.71754,5.67738)
1407:(x,y)=(-8.05732,5.68941)
1408:(x,y)=(-8.1822,5.37317)
1409:(x,y)=(-8.48816,5.52146)
1410:(x,y)=(-8.15712,5.44392)
1411:(x,y)=(-8.08398,5.77596)
1412:(x,y)=(-8.41867,5.7161)
1413:(x,y)=(-8.13016,5.89599)
1414:(x,y)=(-7.86234,5.68654)
1415:(x,y)=(-7.63559,5.93989)
1416:(x,y)=(-7.6431,5.59997)
1417:(x,y)=(-7.60258,5.93755)
1418:(x,y)=(-7.8467,6.17421)
1419:(x,y)=(-7.91984,6.50624)
1420:(x,y)=(-7.88829,6.16771)
1421:(x,y)=(-7.72793,5.8679)
1422:(x,y)=(-7.40147,5.7729)
1423:(x,y)=(-7.1229,5.57796)
1424:(x,y)=(-7.38697,5.36379)
1425:(x,y)=(-7.17397,5.09878)
1426:(x,y)=(-7.12748,5.43559)
1427:(x,y)=(-6.83279,5.60516)
1428:(x,y)=(-6.99842,5.30823)
1429:(x,y)=(-7.33842,5.30822)
1430:(x,y)=(-7.59076,5.53609)
1431:(x,y)=(-7.27398,5.65958)
1432:(x,y)=(-6.96177,5.7942)
1433:(x,y)=(-7.16039,5.51825)
1434:(x,y)=(-7.37338,5.25323)
1435:(x,y)=(-7.04102,5.18157)
1436:(x,y)=(-7.35669,5.05528)
1437:(x,y)=(-7.17048,5.33975)
1438:(x,y)=(-6.83749,5.40848)
1439:(x,y)=(-6.79697,5.74606)
1440:(x,y)=(-7.12079,5.64242)
1441:(x,y)=(-7.32186,5.9166)
1442:(x,y)=(-7.10886,5.65159)
1443:(x,y)=(-7.15536,5.98839)
1444:(x,y)=(-7.34409,5.70558)
1445:(x,y)=(-7.39653,5.36965)
1446:(x,y)=(-7.06295,5.30388)
1447:(x,y)=(-7.32318,5.08507)
1448:(x,y)=(-7.11491,4.81633)
1449:(x,y)=(-7.17625,5.15075)
1450:(x,y)=(-6.86171,5.27982)
1451:(x,y)=(-7.18166,5.16479)
1452:(x,y)=(-7.38272,5.43897)
1453:(x,y)=(-7.09263,5.26164)
1454:(x,y)=(-7.19196,5.58681)
1455:(x,y)=(-6.85495,5.54181)
1456:(x,y)=(-6.90442,5.87819)
1457:(x,y)=(-6.58153,5.98469)
1458:(x,y)=(-6.24153,5.98469)
1459:(x,y)=(-5.92366,5.86402)
1460:(x,y)=(-5.90112,6.20327)
1461:(x,y)=(-5.64087,5.98447)
1462:(x,y)=(-5.55603,6.31371)
1463:(x,y)=(-5.22083,6.37061)
1464:(x,y)=(-4.97672,6.60728)
1465:(x,y)=(-5.15788,6.31956)
1466:(x,y)=(-5.47356,6.19328)
1467:(x,y)=(-5.38579,5.8648)
1468:(x,y)=(-5.59406,5.59605)
1469:(x,y)=(-5.88571,5.7708)
1470:(x,y)=(-5.71484,5.47686)
1471:(x,y)=(-5.44702,5.26741)
1472:(x,y)=(-5.17736,5.47449)
1473:(x,y)=(-4.87684,5.63352)
1474:(x,y)=(-4.71384,5.93191)
1475:(x,y)=(-4.7987,6.26115)
1476:(x,y)=(-4.54435,6.03552)
1477:(x,y)=(-4.5699,5.69648)
1478:(x,y)=(-4.82623,5.91985)
1479:(x,y)=(-4.49589,6.00032)
1480:(x,y)=(-4.41689,6.33102)
1481:(x,y)=(-4.49881,6.00103)
1482:(x,y)=(-4.79933,6.16006)
1483:(x,y)=(-4.76179,5.82214)
1484:(x,y)=(-4.4671,5.99171)
1485:(x,y)=(-4.3256,5.68255)
1486:(x,y)=(-4.05411,5.47787)
1487:(x,y)=(-3.9839,5.1452)
1488:(x,y)=(-3.69699,4.96276)
1489:(x,y)=(-3.98228,4.7778)
1490:(x,y)=(-3.82192,4.47799)
1491:(x,y)=(-3.88029,4.14304)
1492:(x,y)=(-4.21387,4.07726)
1493:(x,y)=(-4.55375,4.06823)
1494:(x,y)=(-4.36003,3.78881)
1495:(x,y)=(-4.03194,3.6996)
1496:(x,y)=(-3.69535,3.7476)
1497:(x,y)=(-3.39625,3.58592)
1498:(x,y)=(-3.06663,3.50253)
1499:(x,y)=(-2.74668,3.38751)
1500:(x,y)=(-2.86594,3.06911)
1501:(x,y)=(-2.55999,3.21741)
1502:(x,y)=(-2.79987,3.45835)
1503:(x,y)=(-3.11666,3.58183)
1504:(x,y)=(-3.2636,3.88844)
1505:(x,y)=(-2.9279,3.83452)
1506:(x,y)=(-2.9294,3.49452)
1507:(x,y)=(-3.17766,3.72682)
1508:(x,y)=(-3.11042,4.0601)
1509:(x,y)=(-3.35453,4.29676)
1510:(x,y)=(-3.046,4.43962)
1511:(x,y)=(-3.38375,4.40058)
1512:(x,y)=(-3.13549,4.63289)
1513:(x,y)=(-3.46785,4.56122)
1514:(x,y)=(-3.56141,4.23434)
1515:(x,y)=(-3.55088,4.57418)
1516:(x,y)=(-3.23093,4.45916)
1517:(x,y)=(-2.94564,4.2742)
1518:(x,y)=(-2.6913,4.04857)
1519:(x,y)=(-2.98748,3.88161)
1520:(x,y)=(-3.15835,3.58767)
1521:(x,y)=(-2.84267,3.46139)
1522:(x,y)=(-2.50352,3.48544)
1523:(x,y)=(-2.82825,3.5862)
1524:(x,y)=(-2.82374,3.92617)
1525:(x,y)=(-2.82826,4.26614)
1526:(x,y)=(-3.11991,4.44089)
1527:(x,y)=(-3.44877,4.52719)
1528:(x,y)=(-3.41424,4.86543)
1529:(x,y)=(-3.60297,4.58262)
1530:(x,y)=(-3.47529,4.89774)
1531:(x,y)=(-3.73553,4.67893)
1532:(x,y)=(-3.75808,5.01818)
1533:(x,y)=(-4.09378,4.96425)
1534:(x,y)=(-3.92813,4.66733)
1535:(x,y)=(-3.61359,4.79641)
1536:(x,y)=(-3.78445,4.50246)
1537:(x,y)=(-3.4445,4.50848)
1538:(x,y)=(-3.49992,4.84393)
1539:(x,y)=(-3.25791,4.60512)
1540:(x,y)=(-3.33692,4.93581)
1541:(x,y)=(-3.00964,5.02793)
1542:(x,y)=(-2.79198,4.76673)
1543:(x,y)=(-2.45204,4.77275)
1544:(x,y)=(-2.29167,4.47294)
1545:(x,y)=(-2.62976,4.50898)
1546:(x,y)=(-2.41676,4.24396)
1547:(x,y)=(-2.49283,3.91258)
1548:(x,y)=(-2.71279,4.17185)
1549:(x,y)=(-2.51662,4.44955)
1550:(x,y)=(-2.20322,4.3177)
1551:(x,y)=(-1.92815,4.11786)
1552:(x,y)=(-1.65133,4.31527)
1553:(x,y)=(-1.35082,4.4743)
1554:(x,y)=(-1.53705,4.75876)
1555:(x,y)=(-1.87699,4.76477)
1556:(x,y)=(-2.20998,4.83349)
1557:(x,y)=(-1.90402,4.98179)
1558:(x,y)=(-2.20731,5.13547)
1559:(x,y)=(-1.91112,4.96852)
1560:(x,y)=(-2.19476,5.156)
1561:(x,y)=(-2.53136,5.20398)
1562:(x,y)=(-2.77962,5.43628)
1563:(x,y)=(-3.04744,5.22682)
1564:(x,y)=(-2.93951,4.9044)
1565:(x,y)=(-3.19585,5.12777)
1566:(x,y)=(-3.19734,4.78777)
1567:(x,y)=(-3.29667,5.11294)
1568:(x,y)=(-3.41028,4.79248)
1569:(x,y)=(-3.74199,4.86709)
1570:(x,y)=(-4.0772,4.92398)
1571:(x,y)=(-4.25067,5.2164)
1572:(x,y)=(-4.48187,5.46568)
1573:(x,y)=(-4.36544,5.78512)
1574:(x,y)=(-4.52579,5.48531)
1575:(x,y)=(-4.38978,5.1737)
1576:(x,y)=(-4.43628,5.5105)
1577:(x,y)=(-4.69062,5.28486)
1578:(x,y)=(-4.78129,5.61255)
1579:(x,y)=(-4.94165,5.31274)
1580:(x,y)=(-4.98218,5.65032)
1581:(x,y)=(-5.10706,5.33408)
1582:(x,y)=(-5.26741,5.03427)
1583:(x,y)=(-4.96015,4.8887)
1584:(x,y)=(-4.6402,4.77367)
1585:(x,y)=(-4.60864,4.43514)
1586:(x,y)=(-4.78211,4.72756)
1587:(x,y)=(-4.53591,4.49307)
1588:(x,y)=(-4.86625,4.57353)
1589:(x,y)=(-4.93351,4.90681)
1590:(x,y)=(-5.25137,4.78614)
1591:(x,y)=(-5.51354,5.00263)
1592:(x,y)=(-5.39992,4.68217)
1593:(x,y)=(-5.06332,4.6342)
1594:(x,y)=(-4.93009,4.94701)
1595:(x,y)=(-4.59042,4.93198)
1596:(x,y)=(-4.34217,5.16429)
1597:(x,y)=(-4.57337,5.41357)
1598:(x,y)=(-4.34662,5.66692)
1599:(x,y)=(-4.00727,5.64587)
1600:(x,y)=(-4.33899,5.72048)
1601:(x,y)=(-4.21131,6.0356)
1602:(x,y)=(-3.9108,6.19463)
1603:(x,y)=(-4.18763,6.39203)
1604:(x,y)=(-4.36879,6.10431)
1605:(x,y)=(-4.28979,6.43501)
1606:(x,y)=(-3.95044,6.41397)
1607:(x,y)=(-4.02945,6.74466)
1608:(x,y)=(-3.69376,6.69074)
1609:(x,y)=(-3.99428,6.84976)
1610:(x,y)=(-4.31214,6.72908)
1611:(x,y)=(-3.97215,6.72608)
1612:(x,y)=(-4.28069,6.86893)
1613:(x,y)=(-4.43033,6.56363)
1614:(x,y)=(-4.15005,6.75611)
1615:(x,y)=(-4.06521,7.08535)
1616:(x,y)=(-3.72629,7.0583)
1617:(x,y)=(-3.39458,7.13292)
1618:(x,y)=(-3.72266,7.0437)
1619:(x,y)=(-3.82199,7.36887)
1620:(x,y)=(-3.70555,7.68831)
1621:(x,y)=(-3.59193,7.36785)
1622:(x,y)=(-3.74695,7.06525)
1623:(x,y)=(-4.07582,7.15155)
1624:(x,y)=(-4.39775,7.0422)
1625:(x,y)=(-4.68466,6.85976)
1626:(x,y)=(-4.63817,7.19656)
1627:(x,y)=(-4.76025,7.51389)
1628:(x,y)=(-4.88513,7.19765)
1629:(x,y)=(-4.9346,7.53403)
1630:(x,y)=(-4.87327,7.86846)
1631:(x,y)=(-4.66499,7.59971)
1632:(x,y)=(-4.47128,7.3203)
1633:(x,y)=(-4.81116,7.31127)
1634:(x,y)=(-5.11841,7.16569)
1635:(x,y)=(-4.82076,7.33001)
1636:(x,y)=(-4.48301,7.29099)
1637:(x,y)=(-4.18109,7.13463)
1638:(x,y)=(-4.20664,6.79559)
1639:(x,y)=(-3.90336,6.94928)
1640:(x,y)=(-3.58996,6.81743)
1641:(x,y)=(-3.71484,6.5012)
1642:(x,y)=(-4.05419,6.48014)
1643:(x,y)=(-4.0077,6.81695)
1644:(x,y)=(-4.20877,7.09113)
1645:(x,y)=(-4.0484,6.79132)
1646:(x,y)=(-4.13326,7.12056)
1647:(x,y)=(-3.79857,7.06071)
1648:(x,y)=(-3.52175,7.25811)
1649:(x,y)=(-3.83742,7.13183)
1650:(x,y)=(-4.16914,7.20643)
1651:(x,y)=(-4.27705,6.88401)
1652:(x,y)=(-4.37638,7.20918)
1653:(x,y)=(-4.22135,6.90658)
1654:(x,y)=(-4.10773,6.58613)
1655:(x,y)=(-4.35185,6.82279)
1656:(x,y)=(-4.63381,6.6328)
1657:(x,y)=(-4.35018,6.82028)
1658:(x,y)=(-4.62524,6.62043)
1659:(x,y)=(-4.28536,6.61142)
1660:(x,y)=(-4.03101,6.38579)
1661:(x,y)=(-4.28931,6.60689)
1662:(x,y)=(-4.07398,6.87001)
1663:(x,y)=(-4.35926,6.68504)
1664:(x,y)=(-4.24565,6.36459)
1665:(x,y)=(-4.3305,6.69383)
1666:(x,y)=(-4.13928,6.97496)
1667:(x,y)=(-3.80823,6.89742)
1668:(x,y)=(-3.55998,7.12973)
1669:(x,y)=(-3.67642,7.44916)
1670:(x,y)=(-3.82336,7.75577)
1671:(x,y)=(-3.77092,7.41984)
1672:(x,y)=(-3.62944,7.72901)
1673:(x,y)=(-3.96413,7.66914)
1674:(x,y)=(-4.30072,7.71712)
1675:(x,y)=(-3.96658,7.77995)
1676:(x,y)=(-4.00711,8.11752)
1677:(x,y)=(-4.04464,7.7796)
1678:(x,y)=(-3.86347,7.49189)
1679:(x,y)=(-4.20048,7.44688)
1680:(x,y)=(-3.9649,7.69204)
1681:(x,y)=(-3.72932,7.9372)
1682:(x,y)=(-3.38954,7.94924)
1683:(x,y)=(-3.33709,7.61331)
1684:(x,y)=(-3.48944,7.91727)
1685:(x,y)=(-3.71394,7.66192)
1686:(x,y)=(-4.03954,7.56404)
1687:(x,y)=(-4.002,7.22611)
1688:(x,y)=(-4.31878,7.34959)
1689:(x,y)=(-3.9807,7.38564)
1690:(x,y)=(-3.75619,7.1303)
1691:(x,y)=(-3.88388,7.44542)
1692:(x,y)=(-4.22366,7.45744)
1693:(x,y)=(-4.34575,7.77477)
1694:(x,y)=(-4.65796,7.90938)
1695:(x,y)=(-4.98442,7.81437)
1696:(x,y)=(-5.27607,7.98912)
1697:(x,y)=(-5.16531,8.31058)
1698:(x,y)=(-5.47752,8.44519)
1699:(x,y)=(-5.47,8.10527)
1700:(x,y)=(-5.80034,8.18574)
1701:(x,y)=(-5.67267,8.50086)
1702:(x,y)=(-5.33332,8.47981)
1703:(x,y)=(-5.41233,8.81051)
1704:(x,y)=(-5.16,9.03838)
1705:(x,y)=(-5.02125,9.34878)
1706:(x,y)=(-4.70338,9.22812)
1707:(x,y)=(-4.8476,8.92021)
1708:(x,y)=(-5.13925,9.09497)
1709:(x,y)=(-4.8476,9.26973)
1710:(x,y)=(-4.50952,9.30577)
1711:(x,y)=(-4.66987,9.00596)
1712:(x,y)=(-4.43429,9.25112)
1713:(x,y)=(-4.10468,9.16774)
1714:(x,y)=(-4.42757,9.27423)
1715:(x,y)=(-4.76672,9.29827)
1716:(x,y)=(-4.45946,9.1527)
1717:(x,y)=(-4.12079,9.18275)
1718:(x,y)=(-4.00717,8.8623)
1719:(x,y)=(-3.66803,8.88635)
1720:(x,y)=(-3.37037,9.05068)
1721:(x,y)=(-3.04076,8.9673)
1722:(x,y)=(-2.7711,9.17438)
1723:(x,y)=(-2.83835,9.50766)
1724:(x,y)=(-2.97435,9.19604)
1725:(x,y)=(-3.3135,9.22009)
1726:(x,y)=(-3.20273,9.54154)
1727:(x,y)=(-3.52746,9.6423)
1728:(x,y)=(-3.24055,9.45986)
1729:(x,y)=(-3.56344,9.56635)
1730:(x,y)=(-3.8611,9.73067)
1731:(x,y)=(-4.13439,9.93294)
1732:(x,y)=(-4.18683,9.59701)
1733:(x,y)=(-4.5255,9.62705)
1734:(x,y)=(-4.30554,9.88632)
1735:(x,y)=(-3.96985,9.8324)
1736:(x,y)=(-3.95331,10.172)
1737:(x,y)=(-3.82284,9.85802)
1738:(x,y)=(-3.80631,10.1976)
1739:(x,y)=(-3.58408,10.4549)
1740:(x,y)=(-3.58859,10.7949)
1741:(x,y)=(-3.74094,11.0989)
1742:(x,y)=(-3.77248,10.7603)
1743:(x,y)=(-3.46785,10.6093)
1744:(x,y)=(-3.45131,10.9489)
1745:(x,y)=(-3.60901,11.2502)
1746:(x,y)=(-3.78505,10.9593)
1747:(x,y)=(-3.73261,10.6234)
1748:(x,y)=(-3.74314,10.9632)
1749:(x,y)=(-3.5325,11.2301)
1750:(x,y)=(-3.74549,10.9651)
1751:(x,y)=(-4.08544,10.9711)
1752:(x,y)=(-3.90427,10.6834)
1753:(x,y)=(-3.75462,10.3781)
1754:(x,y)=(-4.0945,10.369)
1755:(x,y)=(-3.80599,10.5489)
1756:(x,y)=(-4.11195,10.6972)
1757:(x,y)=(-4.28282,10.4033)
1758:(x,y)=(-4.6228,10.4003)
1759:(x,y)=(-4.92332,10.5593)
1760:(x,y)=(-5.23554,10.6939)
1761:(x,y)=(-4.90993,10.596)
1762:(x,y)=(-4.58107,10.6823)
1763:(x,y)=(-4.79872,10.4211)
1764:(x,y)=(-4.46212,10.4691)
1765:(x,y)=(-4.16593,10.3022)
1766:(x,y)=(-4.50163,10.2482)
1767:(x,y)=(-4.84161,10.2452)
1768:(x,y)=(-4.57379,10.0358)
1769:(x,y)=(-4.46017,9.71533)
1770:(x,y)=(-4.49771,9.3774)
1771:(x,y)=(-4.61415,9.69684)
1772:(x,y)=(-4.34266,9.49216)
1773:(x,y)=(-4.64176,9.33047)
1774:(x,y)=(-4.97062,9.41677)
1775:(x,y)=(-4.75067,9.67604)
1776:(x,y)=(-4.52842,9.41874)
1777:(x,y)=(-4.81207,9.60621)
1778:(x,y)=(-4.60619,9.87679)
1779:(x,y)=(-4.94613,9.8828)
1780:(x,y)=(-4.80465,10.192)
1781:(x,y)=(-4.83321,10.5308)
1782:(x,y)=(-4.68087,10.8347)
1783:(x,y)=(-4.80575,10.5185)
1784:(x,y)=(-5.06209,10.7419)
1785:(x,y)=(-4.95988,10.4176)
1786:(x,y)=(-5.1385,10.7069)
1787:(x,y)=(-4.82997,10.8497)
1788:(x,y)=(-4.69122,11.1601)
1789:(x,y)=(-4.87239,10.8724)
1790:(x,y)=(-5.20047,10.7832)
1791:(x,y)=(-5.18693,10.4435)
1792:(x,y)=(-5.50032,10.3116)
1793:(x,y)=(-5.58808,9.98315)
1794:(x,y)=(-5.24809,9.98015)
1795:(x,y)=(-4.91705,9.90261)
1796:(x,y)=(-5.17535,10.1237)
1797:(x,y)=(-5.2602,10.4529)
1798:(x,y)=(-5.05432,10.7235)
1799:(x,y)=(-5.24305,10.4407)
1800:(x,y)=(-5.29847,10.7762)
1801:(x,y)=(-5.52523,11.0295)
1802:(x,y)=(-5.76511,11.2705)
1803:(x,y)=(-5.9066,11.5796)
1804:(x,y)=(-5.81884,11.2511)
1805:(x,y)=(-5.5142,11.1002)
1806:(x,y)=(-5.1886,11.0023)
1807:(x,y)=(-4.91177,11.1997)
1808:(x,y)=(-4.72055,11.4808)
1809:(x,y)=(-4.53433,11.7653)
1810:(x,y)=(-4.43213,11.441)
1811:(x,y)=(-4.46668,11.7792)
1812:(x,y)=(-4.78346,11.9027)
1813:(x,y)=(-4.58241,12.1769)
1814:(x,y)=(-4.44917,12.4897)
1815:(x,y)=(-4.43865,12.8295)
1816:(x,y)=(-4.15174,12.6471)
1817:(x,y)=(-4.02128,12.3331)
1818:(x,y)=(-3.71799,12.4868)
1819:(x,y)=(-3.55499,12.7852)
1820:(x,y)=(-3.82828,12.9875)
1821:(x,y)=(-3.51042,12.8668)
1822:(x,y)=(-3.66006,12.5615)
1823:(x,y)=(-3.53798,12.8788)
1824:(x,y)=(-3.30899,12.6275)
1825:(x,y)=(-2.96964,12.6065)
1826:(x,y)=(-3.00119,12.2679)
1827:(x,y)=(-3.34011,12.2409)
1828:(x,y)=(-3.62539,12.0559)
1829:(x,y)=(-3.45713,12.3514)
1830:(x,y)=(-3.7933,12.4023)
1831:(x,y)=(-3.52922,12.1882)
1832:(x,y)=(-3.4857,11.8509)
1833:(x,y)=(-3.23337,12.0788)
1834:(x,y)=(-2.89422,12.1029)
1835:(x,y)=(-2.55583,12.0698)
1836:(x,y)=(-2.6053,12.4062)
1837:(x,y)=(-2.941,12.3523)
1838:(x,y)=(-2.70325,12.1092)
1839:(x,y)=(-2.83094,12.4243)
1840:(x,y)=(-2.49142,12.4424)
1841:(x,y)=(-2.6973,12.713)
1842:(x,y)=(-2.53961,13.0142)
1843:(x,y)=(-2.85416,13.1433)
1844:(x,y)=(-3.07181,12.882)
1845:(x,y)=(-2.97536,12.556)
1846:(x,y)=(-2.69173,12.7435)
1847:(x,y)=(-2.82219,12.4295)
1848:(x,y)=(-2.84474,12.7688)
1849:(x,y)=(-3.09708,12.9966)
1850:(x,y)=(-3.2757,13.2859)
1851:(x,y)=(-2.99373,13.096)
1852:(x,y)=(-3.26339,13.303)
1853:(x,y)=(-3.20206,13.6375)
1854:(x,y)=(-3.06605,13.3259)
1855:(x,y)=(-3.21026,13.018)
1856:(x,y)=(-3.18772,13.3572)
1857:(x,y)=(-2.8581,13.2738)
1858:(x,y)=(-2.66439,12.9944)
1859:(x,y)=(-2.8581,12.715)
1860:(x,y)=(-3.09368,12.9601)
1861:(x,y)=(-3.40707,12.8283)
1862:(x,y)=(-3.49193,13.1575)
1863:(x,y)=(-3.22044,12.9528)
1864:(x,y)=(-3.55911,12.9829)
1865:(x,y)=(-3.38306,12.692)
1866:(x,y)=(-3.52455,13.0012)
1867:(x,y)=(-3.81464,12.8238)
1868:(x,y)=(-4.1325,12.7032)
1869:(x,y)=(-4.08005,12.3672)
1870:(x,y)=(-4.31345,12.12)
1871:(x,y)=(-4.44113,12.4351)
1872:(x,y)=(-4.10374,12.4771)
1873:(x,y)=(-4.28745,12.7632)
1874:(x,y)=(-4.42894,13.0724)
1875:(x,y)=(-4.17661,13.3003)
1876:(x,y)=(-3.9432,13.053)
1877:(x,y)=(-3.85836,13.3823)
1878:(x,y)=(-3.53547,13.4888)
1879:(x,y)=(-3.19568,13.5008)
1880:(x,y)=(-2.86332,13.4291)
1881:(x,y)=(-3.01567,13.7331)
1882:(x,y)=(-3.35545,13.7451)
1883:(x,y)=(-3.05926,13.5782)
1884:(x,y)=(-2.90423,13.2756)
1885:(x,y)=(-2.56615,13.3116)
1886:(x,y)=(-2.37244,13.0322)
1887:(x,y)=(-2.08715,12.8473)
1888:(x,y)=(-1.75055,12.8952)
1889:(x,y)=(-1.77009,12.5558)
1890:(x,y)=(-2.0142,12.7925)
1891:(x,y)=(-2.15842,12.4846)
1892:(x,y)=(-2.4865,12.3953)
1893:(x,y)=(-2.77502,12.5752)
1894:(x,y)=(-3.04097,12.787)
1895:(x,y)=(-2.79272,13.0194)
1896:(x,y)=(-2.59408,12.7434)
1897:(x,y)=(-2.66428,12.4107)
1898:(x,y)=(-2.63872,12.0717)
1899:(x,y)=(-2.67925,12.4093)
1900:(x,y)=(-2.76701,12.0808)
1901:(x,y)=(-2.77452,11.7409)
1902:(x,y)=(-2.63577,12.0513)
1903:(x,y)=(-2.30057,12.1082)
1904:(x,y)=(-2.42545,11.7919)
1905:(x,y)=(-2.72163,11.625)
1906:(x,y)=(-3.04724,11.5271)
1907:(x,y)=(-3.0307,11.8667)
1908:(x,y)=(-2.91426,12.1861)
1909:(x,y)=(-2.58617,12.0969)
1910:(x,y)=(-2.26939,12.2204)
1911:(x,y)=(-1.93072,12.2505)
1912:(x,y)=(-2.04717,12.5699)
1913:(x,y)=(-2.38717,12.5699)
1914:(x,y)=(-2.65124,12.3557)
1915:(x,y)=(-2.62269,12.6945)
1916:(x,y)=(-2.30701,12.5683)
1917:(x,y)=(-2.30851,12.2283)
1918:(x,y)=(-1.97012,12.1952)
1919:(x,y)=(-2.15634,12.4797)
1920:(x,y)=(-2.47202,12.3534)
1921:(x,y)=(-2.24527,12.6067)
1922:(x,y)=(-2.14882,12.2807)
1923:(x,y)=(-2.23949,12.6084)
1924:(x,y)=(-2.29193,12.2725)
1925:(x,y)=(-1.95492,12.2275)
1926:(x,y)=(-2.24343,12.4073)
1927:(x,y)=(-2.26297,12.0679)
1928:(x,y)=(-2.0547,11.7992)
1929:(x,y)=(-2.06221,11.4593)
1930:(x,y)=(-1.73932,11.5657)
1931:(x,y)=(-2.07867,11.5447)
1932:(x,y)=(-2.34463,11.7565)
1933:(x,y)=(-2.00762,11.7115)
1934:(x,y)=(-2.18878,11.4238)
1935:(x,y)=(-1.89259,11.2568)
1936:(x,y)=(-2.15089,11.4779)
1937:(x,y)=(-2.32435,11.7704)
1938:(x,y)=(-2.13064,11.4909)
1939:(x,y)=(-2.08415,11.8278)
1940:(x,y)=(-2.13658,11.4918)
